CustomerID,FirstName,LastName,CreditCardNumber,OrderID,Customer_Occupation,Credit_Card_Number,Order_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Product_ID,Product_Name,Category,Manufacturer,Review_Rating,Delivery_Tracking_ID,Delivery_Type,Delivery_Zip_Code,Transaction_Status,Order_Returned,Order_Delivered_on_Time
560-03-1909,Jude,Schuppe,xxxx-xxxx-xxxx-1585,0657a8b1-0f66-4012-b6a3-67b628badc4e,Actor,12345789032,4501,12/31/2019,1/4/2020,1/8/2020,fit4,Fitbit large,fitness,Fitbit large,5,4501,Pickup,10048,Disputed,0,1
841-77-1794,Yvette,Pollich,xxxx-xxxx-xxxx-6518,fd70806f-4173-4c1f-a5d3-569a584be96c,Actor,12345789032,4529,12/25/2019,12/29/2019,1/2/2020,fit4,Fitbit large,fitness,Fitbit large,5,4529,Pickup,10048,Disputed,0,1
103-65-2527,Katelin,Hudson,xxxx-xxxx-xxxx-0431,56db8f46-6b60-4caa-9baa-76ab687a4077,Lawyer,12345789032,4562,1/27/2018,1/31/2018,2/4/2018,fit3,Fitbit small,fitness,Fitbit small,3,4562,Pickup,10048,Disputed,1,1
726-80-3727,Fritz,Rau,xxxx-xxxx-xxxx-8955,932e7615-9103-40d9-8fcb-e8745c360772,Lawyer,12345789032,5073,2/28/2018,3/4/2018,3/8/2018,fit3,Fitbit small,fitness,Fitbit small,3,5073,Pickup,10048,Disputed,1,1
209-67-3630,Dayton,Bernier,xxxx-xxxx-xxxx-9864,94ff58fc-7e57-4079-b864-a1ca1c44150e,Actor,12345789032,5276,11/8/2018,11/12/2018,11/16/2018,fit4,Fitbit large,fitness,Fitbit large,5,5276,Pickup,10048,Disputed,0,1
351-75-2173,Kevin,Koelpin,xxxx-xxxx-xxxx-5367,486a2cc7-ae98-4027-9754-aa5114d9b388,Lawyer,12345789032,5452,1/10/2020,1/14/2020,1/18/2020,fit3,Fitbit small,fitness,Fitbit small,3,5452,Pickup,10048,Disputed,1,1
251-39-4303,Claudine,Blick,xxxx-xxxx-xxxx-2667,3665685f-d4ea-4aa5-bd98-da15ffec2172,Actor,12345789032,5706,9/20/2020,9/24/2020,9/28/2020,fit4,Fitbit large,fitness,Fitbit large,5,5706,Pickup,10048,Disputed,0,1
841-77-1794,Yvette,Pollich,xxxx-xxxx-xxxx-6518,2301aaad-f706-4ed2-bd99-0c04080faf79,Lawyer,12345789032,6209,7/11/2020,7/15/2020,7/19/2020,fit3,Fitbit small,fitness,Fitbit small,3,6209,Pickup,10048,Disputed,1,1
699-40-4235,Gerry,Durgan,xxxx-xxxx-xxxx-4560,d2ac4c17-45bb-455d-9848-380524a4f8a7,Lawyer,12345789032,6339,12/18/2020,12/22/2020,12/26/2020,fit3,Fitbit small,fitness,Fitbit small,3,6339,Pickup,10048,Disputed,1,1
606-22-0165,Levi,Cruickshank,xxxx-xxxx-xxxx-9357,34b4b773-c279-4c8e-b99a-47b2cb13b22c,Actor,12345789032,6542,7/12/2019,7/16/2019,7/20/2019,fit4,Fitbit large,fitness,Fitbit large,5,6542,Pickup,10048,Disputed,0,1
611-37-9349,Willy,Schoen,xxxx-xxxx-xxxx-1065,a29779a1-2c0a-4c35-9cfa-a390bf58c7c5,Lawyer,12345789032,6648,10/26/2019,10/30/2019,11/3/2019,fit3,Fitbit small,fitness,Fitbit small,3,6648,Pickup,10048,Disputed,1,1
566-26-0321,Rebeka,Stokes,xxxx-xxxx-xxxx-2650,8738ce05-ec70-4de6-93c4-a55660cca697,Actor,12345789032,6666,11/13/2019,11/17/2019,11/21/2019,fit4,Fitbit large,fitness,Fitbit large,5,6666,Pickup,10048,Disputed,0,1
292-38-4745,Elroy,Homenick,xxxx-xxxx-xxxx-2539,a7577bdd-fade-43ac-ad71-a0e52fe636c3,Lawyer,12345789032,6783,2/2/2019,2/6/2019,2/10/2019,fit3,Fitbit small,fitness,Fitbit small,3,6783,Pickup,10048,Disputed,1,1
472-42-7956,Amber,Stehr,xxxx-xxxx-xxxx-3544,1fdf4760-36fb-4f6e-a140-1cc3fdc9c9ad,Lawyer,12345789032,6867,1/21/2019,1/25/2019,1/29/2019,fit3,Fitbit small,fitness,Fitbit small,3,6867,Pickup,10048,Disputed,1,1
033-16-4037,Guiseppe,Champlin,xxxx-xxxx-xxxx-3041,c6cf7319-6bd1-484c-9083-e8bbe07264ac,Lawyer,12345789032,7232,11/22/2019,11/26/2019,11/30/2019,fit3,Fitbit small,fitness,Fitbit small,3,7232,Pickup,10048,Disputed,1,1
135-11-4020,Kamryn,Denesik,xxxx-xxxx-xxxx-1124,72339578-bc81-4736-b7c2-9f037f16488d,Lawyer,12345789032,7299,2/12/2018,2/16/2018,2/20/2018,fit3,Fitbit small,fitness,Fitbit small,3,7299,Pickup,10048,Disputed,1,1
274-18-0017,Rahsaan,Koch,xxxx-xxxx-xxxx-5055,5e0e165d-3de2-4ba1-80d5-e84cf8a75012,Actor,12345789032,7351,4/5/2018,4/9/2018,4/13/2018,fit4,Fitbit large,fitness,Fitbit large,5,7351,Pickup,10048,Disputed,0,1
249-42-8445,Carey,Cremin,xxxx-xxxx-xxxx-0102,2c768f49-ae99-4524-b614-f60d3b92affc,Actor,12345789032,7475,8/7/2018,8/11/2018,8/15/2018,fit4,Fitbit large,fitness,Fitbit large,5,7475,Pickup,10048,Disputed,0,1
351-75-2173,Kevin,Koelpin,xxxx-xxxx-xxxx-5367,37436a48-abd1-4863-89f8-e82ff67c582c,Lawyer,12345789032,7491,8/23/2018,8/27/2018,8/31/2018,fit3,Fitbit small,fitness,Fitbit small,3,7491,Pickup,10048,Disputed,1,1
566-26-0321,Rebeka,Stokes,xxxx-xxxx-xxxx-2650,beb1571e-2266-4f9f-9e63-07609d5c4d08,Lawyer,12345789032,7524,9/25/2018,9/29/2018,10/3/2018,fit3,Fitbit small,fitness,Fitbit small,3,7524,Pickup,10048,Disputed,1,1
056-77-2913,Eva,Schaefer,xxxx-xxxx-xxxx-2623,26ab0a8c-1ddf-4502-905e-a597d9089345,Actor,12345789032,7553,10/24/2018,10/28/2018,11/1/2018,fit4,Fitbit large,fitness,Fitbit large,5,7553,Pickup,10048,Disputed,0,1
557-44-7715,Tiffany,Treutel,xxxx-xxxx-xxxx-0522,ecedf56f-a98e-4a7d-a06f-ad5151af80d1,Actor,12345789032,7587,11/27/2018,12/1/2018,12/5/2018,fit4,Fitbit large,fitness,Fitbit large,5,7587,Pickup,10048,Disputed,0,1
784-43-5925,Shirley,Wisoky,xxxx-xxxx-xxxx-9544,13c52b85-a24d-41e6-82bc-24c7657f26ee,Actor,12345789032,7694,2/14/2018,2/18/2018,2/22/2018,fit4,Fitbit large,fitness,Fitbit large,5,7694,Pickup,10048,Disputed,0,1
750-71-9150,Samara,Thompson,xxxx-xxxx-xxxx-1937,cce7b436-9982-4c4f-9dc0-287d6d6795fd,Lawyer,12345789032,7727,2/22/2018,2/26/2018,3/2/2018,fit3,Fitbit small,fitness,Fitbit small,3,7727,Pickup,10048,Disputed,1,1
240-63-1439,Kirk,Adams,xxxx-xxxx-xxxx-4265,eb5f659b-6fd9-42c6-8eb1-0bf3e268526d,Lawyer,12345789032,7755,1/15/2018,1/19/2018,1/23/2018,fit3,Fitbit small,fitness,Fitbit small,3,7755,Pickup,10048,Disputed,1,1
205-58-1738,Joe,Stoltenberg,xxxx-xxxx-xxxx-2856,847eaa55-4db3-40b7-b4e5-5f92f9702b83,Lawyer,12345789032,8327,6/12/2020,6/16/2020,6/20/2020,fit3,Fitbit small,fitness,Fitbit small,3,8327,Pickup,10048,Disputed,1,1
269-29-9833,Warren,Rohan,xxxx-xxxx-xxxx-8369,cc7116e2-305e-47ff-9777-c0d0be4185e7,Lawyer,12345789032,8360,7/15/2020,7/19/2020,7/23/2020,fit3,Fitbit small,fitness,Fitbit small,3,8360,Pickup,10048,Disputed,1,1
557-44-7715,Tiffany,Treutel,xxxx-xxxx-xxxx-0522,8f7d5e82-adfe-46c1-adf4-de08e13c93a9,Lawyer,12345789032,8547,1/29/2020,2/2/2020,2/6/2020,fit3,Fitbit small,fitness,Fitbit small,3,8547,Pickup,10048,Disputed,1,1
142-61-6949,Octavia,Zulauf,xxxx-xxxx-xxxx-1530,92154115-7af8-49d0-bf6e-79a905d2afa7,Actor,12345789032,8757,4/5/2020,4/9/2020,4/13/2020,fit4,Fitbit large,fitness,Fitbit large,5,8757,Pickup,10048,Disputed,0,1
482-18-6606,Brett,Block,xxxx-xxxx-xxxx-4706,05287606-51e7-47f5-a155-2f11ae5f260d,Actor,12345789032,8790,7/5/2020,7/9/2020,7/13/2020,fit4,Fitbit large,fitness,Fitbit large,5,8790,Pickup,10048,Disputed,0,1
745-59-8085,Chesley,Batz,xxxx-xxxx-xxxx-3352,fd3d66e9-22c8-4f6e-9789-a41e89d9c347,Actor,12345789032,8993,12/15/2020,12/19/2020,12/23/2020,fit4,Fitbit large,fitness,Fitbit large,5,8993,Pickup,10048,Disputed,0,1
221-82-2873,Madilyn,Russel,xxxx-xxxx-xxxx-4858,32015a19-cf50-4b8f-a90d-de834539c294,Lawyer,12345789032,9504,2/2/2019,2/6/2019,2/10/2019,fit3,Fitbit small,fitness,Fitbit small,3,9504,Pickup,10048,Disputed,1,1
135-11-4020,Kamryn,Denesik,xxxx-xxxx-xxxx-1124,e48f500f-d709-4df9-86c1-5d4331e4652f,Lawyer,12345789032,9565,1/9/2019,1/13/2019,1/17/2019,fit3,Fitbit small,fitness,Fitbit small,3,9565,Pickup,10048,Disputed,1,1
503-64-4744,Tyshawn,Rath,xxxx-xxxx-xxxx-8704,7a9d3b48-18bf-431e-8dc8-3a7779f2f33b,Actor,12345789032,9707,7/26/2019,7/30/2019,8/3/2019,fit4,Fitbit large,fitness,Fitbit large,5,9707,Pickup,10048,Disputed,0,1
269-29-9833,Warren,Rohan,xxxx-xxxx-xxxx-8369,9266296d-ff9a-41b2-aa27-88b7c23f47a2,Lawyer,12345789032,10397,2/7/2018,2/11/2018,2/15/2018,fit3,Fitbit small,fitness,Fitbit small,3,10397,Pickup,10048,Disputed,1,1
856-88-9899,Hilda,Feil,xxxx-xxxx-xxxx-0386,abcdc82f-e6bb-4d99-9821-c3ebfa3065f2,Actor,12345789032,10516,3/1/2018,3/5/2018,3/9/2018,fit4,Fitbit large,fitness,Fitbit large,5,10516,Pickup,10048,Disputed,0,1
269-29-9833,Warren,Rohan,xxxx-xxxx-xxxx-8369,0143dfe5-0d0d-4c3f-aa83-ef5ecf07d7b8,Actor,12345789032,10718,11/8/2018,11/12/2018,11/16/2018,fit4,Fitbit large,fitness,Fitbit large,5,10718,Pickup,10048,Disputed,0,1
375-90-5301,Velva,McClure,xxxx-xxxx-xxxx-5530,da25a010-7c07-471b-82c2-6814fc84fb5e,Actor,12345789032,10752,7/27/2018,7/31/2018,8/4/2018,fit4,Fitbit large,fitness,Fitbit large,5,10752,Pickup,10048,Disputed,0,1
467-57-3226,Turner,Emmerich,xxxx-xxxx-xxxx-8991,5f02a8c4-b9ad-4e52-ad9f-2f3f15d2a298,Actor,12345789032,10831,11/29/2018,12/3/2018,12/7/2018,fit4,Fitbit large,fitness,Fitbit large,5,10831,Pickup,10048,Disputed,0,1
032-36-3151,Mittie,Hirthe,xxxx-xxxx-xxxx-1847,7f88a123-8b87-44cb-b3b2-4f402ae45c13,Actor,12345789032,11049,6/13/2020,6/17/2020,6/21/2020,fit4,Fitbit large,fitness,Fitbit large,5,11049,Pickup,10048,Disputed,0,1
353-46-9994,Briana,Ritchie,xxxx-xxxx-xxxx-5253,33c965ea-7136-440f-92f0-960223fa289e,Lawyer,12345789032,11577,6/25/2020,6/29/2020,7/3/2020,fit3,Fitbit small,fitness,Fitbit small,3,11577,Pickup,10048,Disputed,1,1
052-96-6581,Barbara,Cronin,xxxx-xxxx-xxxx-9189,ed2cf72c-1873-43e8-9e23-e3d6fcd55258,Actor,12345789032,11601,9/11/2020,9/15/2020,9/19/2020,fit4,Fitbit large,fitness,Fitbit large,5,11601,Pickup,10048,Disputed,0,1
142-61-6949,Octavia,Zulauf,xxxx-xxxx-xxxx-1530,f0511865-7ce6-46a5-9aeb-0533e25d47ac,Actor,12345789032,11771,11/28/2020,12/2/2020,12/6/2020,fit4,Fitbit large,fitness,Fitbit large,5,11771,Pickup,10048,Disputed,0,1
308-53-2409,Alexandre,Conroy,xxxx-xxxx-xxxx-9149,532e46a2-71db-4ed9-85b9-f1dc23a3fbda,Actor,12345789032,11804,1/13/2019,1/17/2019,1/21/2019,fit4,Fitbit large,fitness,Fitbit large,5,11804,Pickup,10048,Disputed,0,1
868-09-8048,Madalyn,Kilback,xxxx-xxxx-xxxx-9511,c8126d9a-b677-4c91-90c6-bbcdf9dc34c8,Actor,12345789032,11832,2/10/2019,2/14/2019,2/18/2019,fit4,Fitbit large,fitness,Fitbit large,5,11832,Pickup,10048,Disputed,0,1
430-95-5848,Viva,Blick,xxxx-xxxx-xxxx-8087,961b0968-2736-4809-af58-0dc21c19fa69,Lawyer,12345789032,12286,1/9/2019,1/13/2019,1/17/2019,fit3,Fitbit small,fitness,Fitbit small,3,12286,Pickup,10048,Disputed,1,1
033-16-4037,Guiseppe,Champlin,xxxx-xxxx-xxxx-3041,ec2a0bde-fa7b-4921-a9d7-1debe7541475,Actor,12345789032,12405,6/14/2019,6/18/2019,6/22/2019,fit4,Fitbit large,fitness,Fitbit large,5,12405,Pickup,10048,Disputed,0,1
699-40-4235,Gerry,Durgan,xxxx-xxxx-xxxx-4560,ad8a333b-ece5-47e8-9366-c44cabfeffcc,Actor,12345789032,12529,11/2/2019,11/6/2019,11/10/2019,fit4,Fitbit large,fitness,Fitbit large,5,12529,Pickup,10048,Disputed,0,1
392-94-1228,Nathanial,Prohaska,xxxx-xxxx-xxxx-9126,ddc822a0-36e5-43a1-8b1a-8e70e756685d,Lawyer,12345789032,12545,6/20/2019,6/24/2019,6/28/2019,fit3,Fitbit small,fitness,Fitbit small,3,12545,Pickup,10048,Disputed,1,1
423-85-1932,Armani,Haley,xxxx-xxxx-xxxx-5935,9b68d457-3058-496f-9a35-18e40538efcf,Lawyer,12345789032,12607,11/21/2019,11/25/2019,11/29/2019,fit3,Fitbit small,fitness,Fitbit small,3,12607,Pickup,10048,Disputed,1,1
032-36-3151,Mittie,Hirthe,xxxx-xxxx-xxxx-1847,a24b2a6d-84df-47de-b750-6e49bca34f5a,Actor,12345789032,12641,11/22/2019,11/26/2019,11/30/2019,fit4,Fitbit large,fitness,Fitbit large,5,12641,Pickup,10048,Disputed,0,1
259-16-4212,Myrtle,Cronin,xxxx-xxxx-xxxx-2623,fa10c888-63c1-4ccf-93d6-465740c20b9f,Actor,12345789032,12748,2/19/2018,2/23/2018,2/27/2018,fit4,Fitbit large,fitness,Fitbit large,5,12748,Pickup,10048,Disputed,0,1
142-61-6949,Octavia,Zulauf,xxxx-xxxx-xxxx-1530,5780c1ff-9bb7-4e25-b53d-dbc5bf9559f7,Lawyer,12345789032,12781,3/24/2018,3/28/2018,4/1/2018,fit3,Fitbit small,fitness,Fitbit small,3,12781,Pickup,10048,Disputed,1,1
467-57-3226,Turner,Emmerich,xxxx-xxxx-xxxx-8991,28037d14-922a-4763-ab4f-dd82d927b5b7,Lawyer,12345789032,12809,4/21/2018,4/25/2018,4/29/2018,fit3,Fitbit small,fitness,Fitbit small,3,12809,Pickup,10048,Disputed,1,1
676-22-9503,Pinkie,Walker,xxxx-xxxx-xxxx-4295,b2d086d1-4b65-4722-801d-434e64115273,Lawyer,12345789032,13068,1/6/2018,1/10/2018,1/14/2018,fit3,Fitbit small,fitness,Fitbit small,3,13068,Pickup,10048,Disputed,1,1
848-54-2949,Jarrod,Schmeler,xxxx-xxxx-xxxx-7741,f46b9626-cb89-428c-af93-48b752dcb7ca,Actor,12345789032,13187,1/27/2018,1/31/2018,2/4/2018,fit4,Fitbit large,fitness,Fitbit large,5,13187,Pickup,10048,Disputed,0,1
103-65-2527,Katelin,Hudson,xxxx-xxxx-xxxx-0431,f9d29582-41ed-43c3-beb2-ed125892e89a,Actor,12345789032,13231,2/19/2018,2/23/2018,2/27/2018,fit4,Fitbit large,fitness,Fitbit large,5,13231,Pickup,10048,Disputed,0,1
538-94-1269,Mabelle,Heidenreich,xxxx-xxxx-xxxx-4201,3824175d-e37f-451f-8830-8de9a7266260,Lawyer,12345789032,13253,3/1/2018,3/5/2018,3/9/2018,fit3,Fitbit small,fitness,Fitbit small,3,13253,Pickup,10048,Disputed,1,1
704-41-5593,Joana,Parisian,xxxx-xxxx-xxxx-2909,11564149-dabf-4c99-8bb1-600c69135df3,Lawyer,12345789032,13315,6/20/2018,6/24/2018,6/28/2018,fit3,Fitbit small,fitness,Fitbit small,3,13315,Pickup,10048,Disputed,1,1
521-60-8545,Lorna,Mills,xxxx-xxxx-xxxx-8079,7b815caa-fcd1-4283-8525-1ce8a93aac3a,Lawyer,12345789032,13517,11/25/2018,11/29/2018,12/3/2018,fit3,Fitbit small,fitness,Fitbit small,3,13517,Pickup,10048,Disputed,1,1
047-75-5873,Gail,Swaniawski,xxxx-xxxx-xxxx-8094,e8c60c9e-910c-41cb-b9a0-e9b3aa42102c,Lawyer,12345789032,13601,12/28/2018,1/1/2019,1/5/2019,fit3,Fitbit small,fitness,Fitbit small,3,13601,Pickup,10048,Disputed,1,1
254-72-5938,Ward,Brekke,xxxx-xxxx-xxxx-5280,2770f600-bea2-4e22-9010-51d890b10e53,Driver,12345789025,212,7/30/2020,8/3/2020,8/7/2020,s10,Samsung s10,phone,Samsung s10,2,212,Delivery,10048,Disputed,1,1
856-88-9899,Hilda,Feil,xxxx-xxxx-xxxx-0386,12633ea6-2982-47da-bb42-54736374b18c,Driver,12345789025,388,1/9/2020,1/13/2020,1/17/2020,s10,Samsung s10,phone,Samsung s10,2,388,Delivery,10048,Disputed,1,1
375-90-5301,Velva,McClure,xxxx-xxxx-xxxx-5530,582cf47d-f6f9-4400-9c5a-293f6b119e9f,Driver,12345789025,703,7/14/2020,7/18/2020,7/22/2020,s10,Samsung s10,phone,Samsung s10,2,703,Delivery,10048,Disputed,1,1
249-84-3275,Ferne,Schuppe,xxxx-xxxx-xxxx-0199,f653c059-ca11-46e2-beea-32060ad5ed3a,Banker,12345789023,1275,1/4/2019,1/8/2019,1/12/2019,Redmi,Redmi,phone,Redmi,4,1275,Pickup,10048,Disputed,1,1
704-41-5593,Joana,Parisian,xxxx-xxxx-xxxx-2909,23cb1b96-a1db-4771-868d-33f74bf20231,Banker,12345789023,1478,2/3/2019,2/7/2019,2/11/2019,Redmi,Redmi,phone,Redmi,4,1478,Pickup,10048,Disputed,1,1
603-66-4181,Keaton,Kiehn,xxxx-xxxx-xxxx-8244,10b6550f-d81b-45c5-9e32-9f14ff6349e5,Driver,12345789025,3263,2/4/2020,2/8/2020,2/12/2020,s10,Samsung s10,phone,Samsung s10,2,3263,Delivery,10048,Disputed,1,1
033-16-4037,Guiseppe,Champlin,xxxx-xxxx-xxxx-3041,f708c426-2722-43ce-a18a-f668383a7cc6,Driver,12345789025,3296,2/12/2020,2/16/2020,2/20/2020,s10,Samsung s10,phone,Samsung s10,2,3296,Delivery,10048,Disputed,1,1
404-86-6657,Justus,Kub,xxxx-xxxx-xxxx-8855,d2cfc8d8-2a05-4797-951a-3583e579c41f,Banker,12345789023,3693,3/6/2019,3/10/2019,3/14/2019,Redmi,Redmi,phone,Redmi,4,3693,Pickup,10048,Disputed,1,1
121-72-0132,Tremaine,Wunsch,xxxx-xxxx-xxxx-8408,ef967908-383a-411c-b3b0-4f5af56d933d,Banker,12345789023,3929,10/28/2019,11/1/2019,11/5/2019,Redmi,Redmi,phone,Redmi,4,3929,Pickup,10048,Disputed,1,1
269-29-9833,Warren,Rohan,xxxx-xxxx-xxxx-8369,8e54cda6-09c4-46d2-8752-06f1e6160041,Driver,12345789025,4116,1/25/2019,1/29/2019,2/2/2019,s10,Samsung s10,phone,Samsung s10,2,4116,Delivery,10048,Disputed,1,1
804-44-8235,Julius,Yost,xxxx-xxxx-xxxx-4164,d84b13eb-00fa-4aab-88dd-6cadb2fea02c,Driver,12345789025,4251,7/1/2019,7/5/2019,7/9/2019,s10,Samsung s10,phone,Samsung s10,2,4251,Delivery,10048,Disputed,1,1
078-26-8260,Lori,Vandervort,xxxx-xxxx-xxxx-9750,c2c8f5f8-c617-49c3-9559-306cf8386458,Driver,12345789025,4335,7/22/2019,7/26/2019,7/30/2019,s10,Samsung s10,phone,Samsung s10,2,4335,Delivery,10048,Disputed,1,1
410-20-6832,Marty,Kohler,xxxx-xxxx-xxxx-2538,ffcc7478-8e94-4345-a784-809b750d1563,Driver,12345789025,4959,2/16/2018,2/20/2018,2/24/2018,s10,Samsung s10,phone,Samsung s10,2,4959,Delivery,10048,Disputed,1,1
032-36-3151,Mittie,Hirthe,xxxx-xxxx-xxxx-1847,c5e4c847-84ec-4789-8ee5-77e15d3ae076,Driver,12345789025,5195,7/3/2018,7/7/2018,7/11/2018,s10,Samsung s10,phone,Samsung s10,2,5195,Delivery,10048,Disputed,1,1
538-94-1269,Mabelle,Heidenreich,xxxx-xxxx-xxxx-4201,87c76e65-58cb-4bb9-8c8c-1bfe8b453b72,Driver,12345789025,5654,7/30/2020,8/3/2020,8/7/2020,s10,Samsung s10,phone,Samsung s10,2,5654,Delivery,10048,Disputed,1,1
436-80-0728,Chloe,Erdman,xxxx-xxxx-xxxx-5521,bcdb085e-9e26-44b1-9987-68617771b72a,Banker,12345789023,5795,12/18/2020,12/22/2020,12/26/2020,Redmi,Redmi,phone,Redmi,4,5795,Pickup,10048,Disputed,1,1
841-77-1794,Yvette,Pollich,xxxx-xxxx-xxxx-6518,e5159215-6e6c-4131-b9cb-63d87cf63940,Banker,12345789023,5828,1/6/2020,1/10/2020,1/14/2020,Redmi,Redmi,phone,Redmi,4,5828,Pickup,10048,Disputed,1,1
337-06-0962,Hazel,Bailey,xxxx-xxxx-xxxx-0975,0a2d4f98-fa77-424b-92f3-0a9f5ac8c763,Banker,12345789023,6015,2/8/2020,2/12/2020,2/16/2020,Redmi,Redmi,phone,Redmi,4,6015,Pickup,10048,Disputed,1,1
